name,apt,brew,brewcask,pip-user,pipx,script,snap,webi
1password-cli,T,,T,,,,,
age,,T,,,,T,,
apt-transport-https,T,,,,,,,
autorestic,,T,,,,,,
bazel,T,,,,,,,
build-essential,T,,,,,,,
code,T,,,,,,,
code-cli,,T,,,,,,
commitizen,,,,T,T,,,
containerd.io,T,,,,,,,
coreutils,,T,,,,,,
copier,,T,,T,T,,,
direnv,T,T,,,,,,
docker-ce,T,,,,,,,
docker-ce-cli,T,,,,,,,
docker-compose-plugin,T,,,,,,,
doppler,T,,,,,,,
dopplerhq/cli/doppler,,T,,,,,,
dotdrop,,T,,T,T,,,
file,T,,,,,,,
findutils,,T,,,,,,
font-fira-code,,,T,,,,,
font-fira-code-nerd-font,,,T,,,,,
fzf,T,T,,,,,,
gh,T,T,,,,,,
gitmojify,,,,T,T,,,
git-sizer,T,T,,,,,,
git-workspace,,T,,,,,,
google-perftools,T,,,,,,,
gnupg,,T,,,,,,
go,,T,,,,T,,
go-task,,T,,,,T,,
gpa,T,,,,,,,
gpg-suite,,,,,,T,,
helm,T,T,,,,,,
jq,T,T,,,,,,
locales,T,,,,,,,
locales-all,T,,,,,,,
lsb-release,T,,,,,,,
microk8s,,T,,,,,T,
mypy,,,,T,T,,,
ngrok,,,,,,T,,
node,T,T,,,,,,
node,,,,T,T,,,
openssh-server,T,,,,,,,
pass,T,T,,,,,,
pinentry-curses,T,,,,,,,
pinentry-mac,,T,,,,,,
pip,,,,T,,,,
pipx,,T,,T,,,,
poetry,,T,,,,T,,
poethepoet,,T,,T,T,,,
pre-commit,,,,T,T,,,
procps,T,,,,,,,
python3-dev,T,,,,,,,
python3-pip,T,,,,,,,
python3-setuptools,T,,,,,,,
python3-testresources,T,,,,,,,
python3-venv,T,,,,,,,
restic,,T,,,,,,
rust,,,,,,T,,
sdkman,,,,,,T,,
seahorse,T,,,,,,,
serviceman,,,,,,,,T
setuptools,,,,T,,,,
snapd,T,,,,,,,
sops,,T,,,,T,,
stow,T,T,,,,,,
tree,T,T,,,,,,
tmux,T,T,,,,,,
tzdata,T,,,,,,,
unzip,T,T,,,,,,
vim,T,,,,,,,
xclip,T,,,,,,,
yq,,T,,,,T,,
webi,,,,,,T,,
zip,T,,,,,,,
zsh,T,T,,,,,,
